rxcui,name,synonym,tty,language,suppress,umlscui,psn
2392239,1 ML oliceridine 1 MG/ML Injection [Olinvyk],1 ML Olinvyk 1 MG/ML Injection,SBD,ENG,N,,
2392243,2 ML oliceridine 1 MG/ML Injection [Olinvyk],2 ML Olinvyk 1 MG/ML Injection,SBD,ENG,N,,
2392245,30 ML oliceridine 1 MG/ML Injection [Olinvyk],30 ML Olinvyk 1 MG/ML Injection,SBD,ENG,N,,
2392234,1 ML oliceridine 1 MG/ML Injection,oliceridine 1 MG per 1 ML Injection,SCD,ENG,N,,
2392242,2 ML oliceridine 1 MG/ML Injection,oliceridine 2 MG per 2 ML Injection,SCD,ENG,N,,
2392244,30 ML oliceridine 1 MG/ML Injection,oliceridine 30 MG per 30 ML (For PCA Use Only) Injection,SCD,ENG,N,,
