rxcui,name,synonym,tty,language,suppress,umlscui,psn
1049221,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet,APAP 325 MG / oxycodone hydrochloride 5 MG Oral Tablet,SCD,ENG,N,,
1049225,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,APAP 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,SCD,ENG,N,,
1049233,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,APAP 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,SCD,ENG,N,,
1049251,acetaminophen 400 MG / oxycodone hydrochloride 10 MG Oral Tablet,APAP 400 MG / Oxycodone Hydrochloride 10 MG Oral Tablet,SCD,ENG,N,,
1049260,acetaminophen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet,APAP 400 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,SCD,ENG,N,,
1049267,acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,APAP 400 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet,SCD,ENG,N,,
1049270,acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet,APAP 650 MG / oxycodone hydrochloride 10 MG Oral Tablet,SCD,ENG,N,,
1049502,12 HR oxycodone hydrochloride 10 MG Extended Release Oral Tablet,oxycodone hydrochloride 10 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
1049543,12 HR oxycodone hydrochloride 15 MG Extended Release Oral Tablet,oxycodone hydrochloride 15 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
1049563,12 HR oxycodone hydrochloride 20 MG Extended Release Oral Tablet,oxycodone hydrochloride 20 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
1049574,12 HR oxycodone hydrochloride 30 MG Extended Release Oral Tablet,oxycodone hydrochloride 30 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
