rxcui,name,synonym,tty,language,suppress,umlscui,psn
977874,12 HR oxymorphone hydrochloride 10 MG Extended Release Oral Tablet,oxymorphone hydrochloride 10 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
977894,12 HR oxymorphone hydrochloride 15 MG Extended Release Oral Tablet,oxymorphone hydrochloride 15 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
977902,12 HR oxymorphone hydrochloride 20 MG Extended Release Oral Tablet,oxymorphone hydrochloride 20 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
977909,12 HR oxymorphone hydrochloride 30 MG Extended Release Oral Tablet,oxymorphone hydrochloride 30 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
977915,12 HR oxymorphone hydrochloride 40 MG Extended Release Oral Tablet,oxymorphone hydrochloride 40 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
977923,12 HR oxymorphone hydrochloride 5 MG Extended Release Oral Tablet,oxymorphone hydrochloride 5 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
977929,12 HR oxymorphone hydrochloride 7.5 MG Extended Release Oral Tablet,oxymorphone hydrochloride 7.5 MG 12 HR Extended Release Oral Tablet,SCD,ENG,N,,
977939,oxymorphone hydrochloride 5 MG Oral Tablet,,SCD,ENG,N,,
977942,oxymorphone hydrochloride 10 MG Oral Tablet,,SCD,ENG,N,,
