rxcui,name,synonym,tty,language,suppress,umlscui,psn
1087926,ketamine 100 MG/ML Injectable Solution [Ketaset],Ketaset 100 MG/ML Injectable Solution,SBD,ENG,N,,
1486837,ketamine 100 MG/ML Injectable Solution [Zetamine],Zetamine 100 MG/ML Injectable Solution,SBD,ENG,N,,
206967,ketamine 10 MG/ML Injectable Solution [Ketalar],Ketalar (ketamine hydrochloride) 10 MG/ML Injectable Solution,SBD,ENG,N,,
206970,ketamine 100 MG/ML Injectable Solution [Ketalar],Ketalar (ketamine hydrochloride) 100 MG/ML Injectable Solution,SBD,ENG,N,,
206972,ketamine 50 MG/ML Injectable Solution [Ketalar],Ketalar (ketamine hydrochloride) 50 MG/ML Injectable Solution,SBD,ENG,N,,
238082,ketamine 10 MG/ML Injectable Solution,ketamine (as ketamine hydrochloride) 10 MG/ML Injectable Solution,SCD,ENG,N,,
238083,ketamine 100 MG/ML Injectable Solution,ketamine (as ketamine hydrochloride) 100 MG/ML Injectable Solution,SCD,ENG,N,,
238084,ketamine 50 MG/ML Injectable Solution,ketamine (as ketamine hydrochloride) 50 MG/ML Injectable Solution,SCD,ENG,N,,
2723913,10 ML ketamine 10 MG/ML Prefilled Syringe,ketamine 100 MG (as ketamine hydrochloride 115.3 MG) per 10 ML Prefilled Syringe,SCD,ENG,N,,
