rxcui,name,synonym,tty,language,suppress,umlscui,psn
2103199,sufentanil 0.03 MG Sublingual Tablet [Dsuvia],Dsuvia 30 MCG Sublingual Tablet,SBD,ENG,N,,
1809097,1 ML sufentanil 0.05 MG/ML Injection,sufentanil 50 MCG per 1 ML Injection,SCD,ENG,N,,
1809102,2 ML sufentanil 0.05 MG/ML Injection,sufentanil 100 MCG per 2 ML Injection,SCD,ENG,N,,
1809104,5 ML sufentanil 0.05 MG/ML Injection,sufentanil 250 MCG per 5 ML Injection,SCD,ENG,N,,
2103192,sufentanil 0.03 MG Sublingual Tablet,sufentanil 30 MCG Sublingual Tablet,SCD,ENG,N,,
