rxcui,name,synonym,tty,language,suppress,umlscui,psn
238133,pentazocine 30 MG/ML Injectable Solution,pentazocine (as pentazocine lactate) 30 MG/ML Injectable Solution,SCD,ENG,N,,
250485,pentazocine 25 MG Oral Tablet,,SCD,ENG,N,,
250486,pentazocine 50 MG Oral Capsule,,SCD,ENG,N,,
250877,pentazocine 50 MG Rectal Suppository,pentazocine (as pentazocine lactate) 50 MG Rectal Suppository,SCD,ENG,N,,
312288,acetaminophen 650 MG / pentazocine 25 MG Oral Tablet,APAP 650 MG / Pentazocine 25 MG Oral Tablet,SCD,ENG,N,,
312289,naloxone 0.5 MG / pentazocine 50 MG Oral Tablet,naloxone (as naloxone hydrochloride) 0.5 MG / pentazocine (as pentazocine hydrochloride) 50 MG Oral Tablet,SCD,ENG,N,,
