rxcui,name,synonym,tty,language,suppress,umlscui,psn
857099,acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution,APAP 33.3 MG/ML / Hydrocodone Bitartrate 0.5 MG/ML Oral Solution,SCD,ENG,N,,
857107,acetaminophen 500 MG / hydrocodone bitartrate 10 MG Oral Tablet,APAP 500 MG / hydrocodone bitartrate 10 MG Oral Tablet,SCD,ENG,N,,
857111,acetaminophen 500 MG / hydrocodone bitartrate 2.5 MG Oral Tablet,APAP 500 MG / hydrocodone bitartrate 2.5 MG Oral Tablet,SCD,ENG,N,,
857118,acetaminophen 500 MG / hydrocodone bitartrate 7.5 MG Oral Tablet,APAP 500 MG / hydrocodone bitartrate 7.5 MG Oral Tablet,SCD,ENG,N,,
857121,aspirin 500 MG / hydrocodone bitartrate 5 MG Oral Tablet,ASA 500 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,SCD,ENG,N,,
857128,acetaminophen 400 MG / hydrocodone bitartrate 10 MG Oral Tablet,APAP 400 MG / hydrocodone bitartrate 10 MG Oral Tablet,SCD,ENG,N,,
857131,acetaminophen 400 MG / hydrocodone bitartrate 5 MG Oral Tablet,APAP 400 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,SCD,ENG,N,,
857134,acetaminophen 400 MG / hydrocodone bitartrate 7.5 MG Oral Tablet,APAP 400 MG / Hydrocodone Bitartrate 7.5 MG Oral Tablet,SCD,ENG,N,,
857383,acetaminophen 650 MG / hydrocodone bitartrate 10 MG Oral Tablet,APAP 650 MG / hydrocodone bitartrate 10 MG Oral Tablet,SCD,ENG,N,,
857391,acetaminophen 325 MG / hydrocodone bitartrate 2.5 MG Oral Tablet,APAP 325 MG / Hydrocodone Bitartrate 2.5 MG Oral Tablet,SCD,ENG,N,,
857501,acetaminophen 556 MG / hydrocodone bitartrate 5 MG Oral Tablet,APAP 556 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,SCD,ENG,N,,
858770,hydrocodone bitartrate 2.5 MG / ibuprofen 200 MG Oral Tablet,,SCD,ENG,N,,
858778,hydrocodone bitartrate 5 MG / ibuprofen 200 MG Oral Tablet,,SCD,ENG,N,,
858798,hydrocodone bitartrate 7.5 MG / ibuprofen 200 MG Oral Tablet,,SCD,ENG,N,,
858967,guaiacolsulfonate 60 MG/ML / hydrocodone bitartrate 0.9 MG/ML Oral Solution,,SCD,ENG,N,,
859315,hydrocodone bitartrate 10 MG / ibuprofen 200 MG Oral Tablet,,SCD,ENG,N,,
859383,guaifenesin 40 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution,guaifenesin 200 MG / hydrocodone bitartrate 2.5 MG per 5 ML Oral Solution,SCD,ENG,N,,
860599,hydrocodone bitartrate 7.5 MG Oral Tablet,,SCD,ENG,N,,
992656,homatropine methylbromide 1.5 MG / hydrocodone bitartrate 5 MG Oral Tablet,,SCD,ENG,N,,
992668,homatropine methylbromide 0.3 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution,homatropine methylbromide 1.5 MG / hydrocodone bitartrate 5 MG per 5 ML Syrup,SCD,ENG,N,,
