rxcui,name,synonym,tty,language,suppress,umlscui,psn
1729581,remifentanil 1 MG Injection [Ultiva],Ultiva 1 MG Injection,SBD,ENG,N,,
1729586,remifentanil 2 MG Injection [Ultiva],Ultiva 2 MG Injection,SBD,ENG,N,,
1729712,remifentanil 5 MG Injection [Ultiva],Ultiva 5 MG Injection,SBD,ENG,N,,
1729578,remifentanil 1 MG Injection,remifentanil (as remifentanil hydrochloride) 1 MG Injection,SCD,ENG,N,,
1729584,remifentanil 2 MG Injection,remifentanil (as remifentanil hydrochloride) 2 MG Injection,SCD,ENG,N,,
1729710,remifentanil 5 MG Injection,remifentanil (as remifentanil hydrochloride) 5 MG Injection,SCD,ENG,N,,
