substance,cscn,csa_schedule,narcotic,other_names
"Marijuana extract, as defined in 21 CFR 1308.11(d)(58), in a U.S. Food and Drug Administration approved product or subject to a state medical marijuana license",7353,III,N,
"Marijuana, as defined in 21 U.S.C. 802(16), in a U.S. Food and Drug Administration approved product or subject to a state medical marijuana license",7362,III,N,
Dronabinol in an oral solution in a drug product approved for marketing by the U.S. Food and Drug Administration,7365,II,N,Syndros
Dronabinol (synthetic) in sesame oil in soft gelatin capsule as approved by FDA,7369,III,N,Marinol; synthetic THC in sesame oil/soft gelatin as approved by FDA
Naturally derived delta-9-tetrahydrocannabinols in a U.S. Food and Drug Administration approved product or in marijuana subject to a state medical marijuana license,7386,III,N,"(i) Naturally derived delta-9-tetrahydrocannabinols means those delta-9-tetrahydrocannabinols, except as in paragraphs 21 CFR 1308.13(g)(2) and (3), that are naturally contained in a plant of the genus Cannabis (cannabis plant) (ii) Naturally derived delta-9-tetrahydrocannabinols do not include any material, compound, mixture, or preparation that falls within the definition of hemp set forth in 7 U.S.C. 1639o (iii) Naturally derived delta-9-tetrahydrocannabinols do not include any delta-9-tetrahydrocannabinols contained in substances excluded from the definition of marijuana as set forth in 21 U.S.C 802(16)(B)(ii)"
Nabilone,7379,II,N,Cesamet
